language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
aeu,8,6,8,5,14,0,0,0,4,8,0,1,14,2,6,0,4,5,7,5,2,2,6,7,5,2,1,8,3,2,2,13,0,4,8,0,6,5,10,2,2,8,6,12,11,5,4,13,5,0,3,1,5,3,7,0,17,17,6,2,1,6,6,4,1,8,0,1,3,14,4,8,3,1,1,3,5,8,1,2,5,5,2,5,5,0,0,4,0,1,0,1,4,6,8,4,4,4,2,7,14,0,4,4,1,9,3,12,0,12,7,2,2,3,9,3,0,2,5,14,0,1,6,0,4,2,2,2,3,0,7,0,0,7,3,2,0,3,6,0,14,2,3,2,2,5,1,7,5,6,4,2,15,0,6,7,13,5,5,7,7,3,0,15,2,15,7,4,8,0,1,2,8,3,12,4,2,0,6,5,4,2,6,1,2,12,12,0,3,0,6,3,3,1,2,8,0,6,6,4,4,2,7,0,0,0,1,6,13,11,8,0,3,7,7,0,4,0,6,5,6,11,15,2,6,0,8,0,2,7,2,2,3,2,12,6,3,3,4,2,1,4,1,3,6,7,7,12,2,3,5,8,6,6,3,6,9,17,0,9,5,0,5,8,3,10,1,0,16,3,5,18,4,1,4,0,5,1,1,2,2,1,4,8,9,0,0,0,4,5,2,8,1,0,4,8,0,2,7,7,1,3,10,5,9,2,0,7,7,0,7,1,6
afr,6,4,6,7,16,0,0,0,4,10,13,0,16,0,7,0,2,5,9,5,0,1,8,9,3,5,1,10,5,2,0,15,0,0,5,0,4,6,9,4,3,6,4,0,11,3,4,4,5,1,4,3,5,5,9,0,19,0,9,4,1,8,5,4,1,6,0,3,3,16,4,10,3,2,3,5,5,6,3,2,7,5,3,6,5,0,0,5,0,9,0,0,4,6,10,4,4,4,1,9,14,0,18,4,1,10,3,14,2,11,5,2,2,3,16,3,3,1,8,4,0,1,5,3,7,3,1,2,3,0,0,0,0,9,5,2,0,3,5,0,15,2,3,4,1,5,1,5,5,4,7,3,14,0,6,5,14,3,4,9,7,3,0,2,0,16,9,4,8,0,3,3,9,1,2,4,2,0,7,6,7,4,7,5,4,14,14,0,3,0,7,5,3,1,4,10,0,9,6,4,7,2,7,0,0,0,1,8,15,10,10,2,5,6,8,0,2,0,8,7,7,12,17,4,4,0,4,0,2,5,2,4,4,2,14,6,3,3,4,5,1,4,1,4,4,7,7,6,2,3,5,10,4,8,11,5,8,19,0,10,5,0,1,10,3,10,1,0,2,1,6,20,5,1,7,0,7,2,2,2,0,1,4,7,9,2,0,0,4,5,2,6,3,0,5,6,0,2,9,8,2,3,7,6,10,2,0,10,9,1,7,1,6
aiw,23,12,22,17,13,1,0,0,0,21,8,8,23,3,18,6,12,11,21,14,9,7,21,22,9,11,1,21,18,9,8,7,4,0,13,0,17,3,23,11,16,17,18,6,9,19,13,7,0,13,0,16,13,9,21,9,9,16,22,18,0,17,12,7,4,18,1,8,0,4,8,19,13,4,4,17,15,21,11,11,19,8,20,0,7,3,0,15,0,1,7,4,8,13,5,17,6,10,23,17,12,0,12,2,8,22,10,6,23,7,15,7,4,6,13,0,0,22,19,11,12,0,18,0,12,7,0,0,1,17,14,11,3,22,18,9,4,9,11,1,6,0,0,10,13,10,9,18,19,14,12,1,7,0,10,18,7,13,13,19,9,10,1,6,0,4,23,0,6,4,17,10,19,12,6,15,17,6,21,11,14,7,18,1,16,19,19,0,0,10,10,19,15,4,13,21,1,20,6,11,13,1,0,0,4,0,2,21,6,4,18,16,13,9,15,0,13,9,20,20,12,9,10,12,3,12,4,0,11,0,0,9,12,11,6,10,9,6,7,6,5,12,5,17,14,10,19,7,12,8,11,22,20,15,8,18,19,14,4,22,11,5,10,22,1,5,0,0,8,5,19,15,11,14,16,6,11,15,6,0,11,1,13,22,8,17,0,0,9,9,6,17,17,8,15,17,0,1,23,18,5,0,7,14,7,9,3,15,24,11,21,13,19
aqy,14,11,13,11,7,0,0,4,9,0,0,5,3,0,11,4,8,7,17,11,6,5,12,15,6,9,4,22,10,5,5,2,0,6,15,0,11,5,15,8,8,14,4,6,5,11,9,3,0,7,12,7,11,7,16,3,1,8,13,9,0,10,4,6,1,10,1,5,0,0,1,13,9,4,0,5,11,13,7,7,12,7,8,10,1,0,0,8,1,4,2,2,12,15,0,10,0,0,19,13,7,1,3,8,5,14,6,19,18,2,8,8,0,5,20,0,5,9,11,7,5,3,20,4,13,10,6,0,0,8,6,7,3,14,10,5,0,10,12,6,7,0,6,5,4,11,2,11,10,0,12,1,4,0,12,11,1,8,9,14,11,6,1,3,0,0,14,6,12,0,7,8,14,8,1,9,7,4,14,9,18,7,12,8,6,5,12,0,7,5,0,10,9,2,20,13,0,13,2,7,8,1,14,0,4,0,0,14,8,7,13,7,10,6,12,0,10,7,12,13,10,17,2,9,9,6,4,0,4,3,4,16,7,8,0,13,2,5,8,4,5,6,1,6,11,1,12,4,4,7,4,13,12,10,5,11,13,7,0,13,3,6,14,14,1,6,3,0,1,4,13,6,17,0,10,4,8,7,4,2,7,3,7,15,5,8,0,0,4,10,3,12,9,9,9,13,0,5,14,12,6,6,14,11,0,10,2,0,15,4,13,5,13
bdh,16,14,12,12,9,2,0,5,6,14,2,2,5,0,12,0,9,7,14,12,4,5,13,16,8,8,4,13,12,6,6,3,0,7,17,0,12,0,17,0,10,12,10,0,4,19,10,6,7,8,7,10,5,6,15,4,3,9,15,0,1,12,4,6,1,12,7,5,0,2,5,14,11,4,5,7,9,14,9,8,13,7,9,12,0,1,7,10,1,0,4,0,14,11,15,11,0,9,8,14,9,0,4,9,0,16,1,17,20,9,9,6,5,5,7,0,0,10,13,20,6,0,22,4,14,9,5,0,3,6,8,4,0,16,12,6,2,6,13,7,8,0,5,5,10,13,4,13,11,9,13,1,6,0,5,12,3,6,10,12,10,8,0,4,0,1,16,7,13,3,9,8,15,6,4,10,9,3,15,15,19,6,13,7,7,7,7,0,8,8,4,12,7,0,7,15,0,14,4,8,10,1,13,0,3,0,0,15,18,5,15,9,11,10,12,0,9,7,14,15,11,18,1,11,3,5,4,0,5,4,5,10,8,9,1,14,7,7,6,4,6,9,1,8,10,11,13,5,5,6,9,15,13,4,6,13,12,8,3,15,14,1,6,16,2,4,0,0,3,5,18,8,19,9,10,2,8,9,0,0,8,3,9,16,3,9,0,0,6,11,0,14,10,0,0,15,0,6,16,11,8,5,16,12,11,11,2,12,16,6,15,6,15
blv,7,5,7,6,12,0,1,2,5,7,12,6,2,0,19,1,3,6,6,6,1,5,5,6,4,3,0,7,2,0,1,7,1,3,6,0,5,1,8,1,0,7,5,1,12,4,5,11,4,7,2,0,6,0,6,9,0,6,7,1,0,17,2,3,0,7,2,2,4,17,0,6,4,4,0,1,6,7,4,3,4,0,1,4,4,0,0,4,0,6,1,0,7,7,7,5,0,5,0,6,6,0,0,5,6,7,8,4,8,11,6,3,3,0,6,0,2,0,4,13,0,2,4,0,5,0,7,0,1,5,1,1,1,6,2,3,1,4,4,0,5,2,4,3,0,6,0,6,6,5,5,0,11,0,7,6,10,4,12,6,0,4,0,0,1,2,6,9,7,0,0,1,7,2,5,3,3,1,5,4,5,1,5,4,3,7,18,0,4,1,5,14,4,1,0,7,0,7,0,5,5,3,8,0,1,2,0,4,5,11,7,9,4,0,5,4,3,6,7,16,0,5,14,1,5,0,3,0,5,6,3,1,2,1,13,7,4,4,5,3,2,13,3,11,5,8,6,2,1,8,3,7,5,5,3,4,7,6,2,8,4,0,3,7,2,0,2,0,0,2,4,17,2,2,5,7,6,0,0,3,1,1,3,6,4,13,0,0,2,6,0,5,0,5,2,7,0,3,6,6,6,0,5,11,2,3,1,8,6,16,6,2,7
cqx,0,1,2,1,1,1,2,1,1,3,0,8,10,1,0,3,0,2,2,2,12,9,0,1,0,0,2,1,5,1,12,9,6,1,1,0,2,5,1,19,19,1,13,8,0,5,0,1,1,16,9,20,0,1,0,0,12,2,1,19,2,1,1,2,1,1,1,0,1,8,1,2,0,0,0,10,0,1,13,0,1,3,11,0,1,4,0,0,0,2,9,0,1,0,1,0,1,2,14,1,1,0,13,0,4,0,0,8,12,9,0,0,8,2,1,0,0,15,1,1,15,0,0,0,0,9,0,0,5,3,17,5,4,2,21,0,0,0,6,2,1,1,2,0,15,2,6,2,19,1,2,1,2,0,2,2,9,1,1,1,1,0,0,12,0,10,1,1,2,1,18,4,1,0,9,0,0,9,1,1,14,9,1,2,12,1,1,0,1,13,1,2,0,5,15,0,0,1,11,0,2,0,2,0,0,0,0,1,3,2,1,18,1,1,1,1,0,1,1,1,3,0,11,19,0,2,2,0,4,1,7,11,3,4,2,1,0,0,0,4,8,6,3,9,1,3,1,1,9,3,1,1,1,1,1,0,1,1,1,1,7,3,7,1,0,1,0,0,13,0,10,0,7,4,1,0,2,17,0,1,6,0,14,2,6,11,0,1,0,3,0,1,21,2,11,2,0,0,0,2,13,1,1,0,0,0,0,1,1,16,2,14,1
ehv,19,16,16,14,21,2,0,6,8,17,4,7,7,4,15,8,11,8,18,15,8,10,15,18,10,10,1,16,13,8,9,5,4,7,12,0,14,7,19,12,13,0,14,3,8,14,14,8,0,10,9,12,14,8,22,5,5,11,17,12,0,17,9,8,2,16,4,6,0,21,6,7,8,5,1,14,16,17,6,12,16,0,17,7,1,6,3,2,1,1,6,0,9,5,16,15,7,4,11,18,19,0,7,3,11,18,7,2,9,4,13,10,6,7,10,0,0,19,15,8,10,4,13,0,10,15,0,2,5,10,10,8,0,18,15,8,3,6,14,10,11,3,8,7,7,15,6,15,14,11,16,1,16,1,8,14,10,10,12,16,13,9,1,7,5,5,18,9,15,0,12,11,20,11,0,14,10,5,18,12,12,12,14,10,9,10,9,0,11,7,4,15,11,1,9,17,0,15,7,12,14,5,17,0,4,7,0,18,6,9,17,14,0,11,13,0,12,0,16,18,9,6,3,13,11,8,6,0,7,3,8,0,10,0,3,11,8,8,11,5,10,0,0,15,13,0,5,9,6,9,10,18,16,17,4,14,17,11,0,17,2,4,7,18,1,7,5,0,4,1,16,10,1,11,11,5,12,11,5,0,10,1,16,18,3,11,1,0,7,8,4,18,12,11,8,18,0,7,18,14,11,0,8,17,5,6,0,16,18,0,17,8,18
ely,4,2,5,0,5,2,0,0,4,5,2,4,0,0,1,7,1,1,5,1,4,0,4,0,0,0,1,5,12,1,13,11,7,1,3,0,1,4,0,18,20,2,0,11,2,13,1,0,2,15,1,23,1,2,4,1,15,4,4,22,3,4,0,1,7,5,5,9,0,12,2,1,1,6,0,12,3,0,0,1,21,2,15,0,0,4,1,16,1,7,12,5,8,1,0,4,1,9,18,6,5,0,14,4,8,4,7,11,16,1,1,9,1,1,5,0,1,14,0,5,14,0,19,0,0,1,5,0,4,2,18,13,0,1,0,1,6,1,16,5,0,1,1,11,19,1,6,1,4,3,1,7,3,0,1,1,8,0,0,5,0,2,0,11,0,9,5,2,14,2,21,18,0,0,8,1,14,0,0,3,0,9,0,0,0,11,5,0,2,11,4,1,1,1,18,4,0,5,14,1,0,1,1,0,0,1,0,0,2,1,4,22,2,4,2,1,0,5,4,0,1,4,10,23,1,1,1,0,1,3,1,14,1,3,8,5,1,1,3,0,7,0,2,0,0,5,4,0,8,10,0,4,0,3,0,3,0,4,0,0,12,2,11,4,0,0,5,0,12,0,2,4,13,8,10,0,1,21,7,0,14,1,1,5,1,13,0,0,1,1,1,0,19,1,12,1,0,7,4,4,0,2,0,4,1,6,2,5,0,14,1,0,4
fmu,3,0,0,2,4,1,0,0,2,4,0,0,13,0,3,3,0,3,4,3,13,5,3,4,0,0,0,4,1,0,14,10,6,1,0,0,3,11,5,21,18,4,3,0,1,2,3,0,1,18,11,22,4,1,3,0,12,0,0,21,2,0,2,1,1,4,1,1,1,11,1,4,0,0,0,11,2,3,12,0,3,1,14,0,1,6,0,2,0,6,10,0,0,3,4,3,2,3,17,3,4,0,14,0,4,3,0,10,15,9,4,0,0,0,4,0,0,13,3,4,17,0,3,1,2,9,11,1,3,1,16,5,6,4,24,0,0,2,3,3,4,1,1,1,18,0,11,0,3,0,0,1,2,0,4,4,12,0,3,4,4,0,0,1,6,12,4,3,5,1,20,17,4,13,0,0,5,9,3,0,2,9,14,2,2,4,4,0,1,15,0,12,2,1,17,1,0,4,14,0,1,0,5,1,0,6,0,4,1,0,0,21,0,1,4,3,12,3,0,3,5,3,9,22,0,4,0,0,9,1,0,13,3,5,11,4,0,0,0,1,0,2,0,10,0,2,3,2,11,0,0,3,3,2,2,0,4,0,1,4,2,1,12,3,0,3,6,0,15,0,4,3,16,7,3,0,3,20,8,0,9,0,15,4,2,7,0,1,0,4,0,4,24,2,14,4,0,0,3,3,5,1,2,2,0,0,0,4,4,12,4,4,0
