language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
abx,0,6,5,0,5,11,16,6,12,9,13,10,7,13,10,6,4,3,7,10,6,9,8,4,3,8,11,7,2,5,9,18,3,12,12,4,13,10,9,11,6,10,6,8,14,12,4,1,0,9,0,12,0,10,15,12,0,0,2,13,18,17,12,0,3,12,16,7,0,8,13,0,7,1,15,1,12,6,14,12,1,10,12,7,12,12,12,7,3,7,14,8,2,12,5,8,15,4,0,1,2,4,13,4,0,6,3,18,9,2,9,7,3,0,0,9,5,3,12,10,3,6,13,8,10,4,9,0,5,0,14,6,0,4,8,10,0,5,0,8,8,17,7,7,7,11,10,12,12,10,0,0,9,7,13,1,3,10,12,0,7,12,12,0,9,13,14,10,0,8,13,10,6,18,0,0,6,8,6,6,3,0,6,6,0,0,9,8,9,10,1,0,7,9,12,18,10,0,0,0,11,0,12,1,4,10,7,5,1,11,15,6,8,0,9,11,14,13,0,6,13,0,12,7,6,8,7,7,19,0,6,1,7,10,7,6,8,2,13,12,8,0,7,11,7,0,6,11,7,6,7,1,6,2,12,2,12,4,5,4,0,0,0,12,8,0,11,11,8,9,0,0,1,15,4,15,11,4,7,0,11,13,0,7,13,17,15,5,0,6,8,4,12,1,10,10,2,0,9,4,20,9,7,9,11,5,0,9,8,5,0,11,9
aeo,0,13,3,0,0,8,0,8,0,1,2,1,15,0,1,0,3,1,2,0,15,1,1,0,0,16,1,1,0,12,0,0,0,0,0,1,0,0,1,2,16,1,1,1,1,0,0,0,2,0,1,0,0,1,1,0,0,0,3,0,0,12,0,1,8,0,3,17,4,2,0,1,2,0,0,0,1,4,1,0,1,0,1,0,0,5,0,7,1,0,11,14,1,10,2,6,1,14,0,2,1,1,2,1,0,9,1,8,2,0,1,0,0,0,0,7,4,0,1,1,12,16,0,0,0,16,2,0,8,0,0,2,0,7,1,3,2,3,2,0,1,0,1,7,1,1,0,0,13,0,1,1,1,1,1,13,7,5,6,1,1,0,1,1,1,0,4,1,1,0,0,0,0,1,0,1,6,18,1,5,0,0,0,1,2,0,1,1,1,0,2,1,4,1,0,1,4,0,2,0,0,0,17,0,0,0,1,0,0,1,0,17,1,1,1,1,0,1,0,2,1,1,0,2,5,1,2,1,10,1,0,1,0,1,7,16,2,14,0,2,0,0,3,1,15,1,2,0,0,18,0,1,0,0,0,1,0,0,2,14,1,0,3,1,18,0,0,1,19,0,13,0,2,3,1,0,1,0,1,2,0,0,0,0,1,9,1,0,0,0,1,7,2,0,7,1,0,5,0,0,18,0,0,0,2,1,0,6,17,13,0,0,5
aqx,5,13,7,2,0,7,15,4,17,2,0,17,13,20,15,9,3,8,0,14,12,14,14,6,0,12,16,10,0,1,11,5,5,17,20,7,10,12,14,15,11,16,9,15,20,17,8,0,0,17,0,18,0,15,4,20,0,0,3,19,14,8,19,5,13,19,17,14,0,0,21,7,12,9,12,1,20,8,21,19,5,18,19,14,21,8,14,13,0,7,8,16,4,18,0,17,10,10,0,12,2,6,10,8,6,12,6,11,14,0,13,14,0,0,0,7,10,0,17,2,11,11,20,12,6,12,7,0,0,0,21,8,0,14,18,13,0,3,0,2,18,14,12,3,0,20,16,19,7,17,0,10,3,3,18,12,7,16,14,0,16,20,18,18,15,21,12,14,0,15,20,5,4,10,0,11,13,14,12,10,0,0,12,12,0,4,14,0,17,16,1,5,4,6,18,14,16,0,5,0,19,0,21,12,9,16,5,0,1,20,12,15,17,7,0,18,22,10,0,5,19,2,19,14,8,10,13,11,5,0,10,13,15,17,8,14,13,9,12,18,13,5,0,5,12,5,11,14,15,14,6,1,9,7,17,8,20,12,2,11,8,6,0,0,15,4,19,18,15,16,11,0,1,8,0,11,15,11,15,5,15,20,0,18,21,11,12,0,0,12,21,7,15,7,12,14,6,11,16,9,12,21,10,17,19,2,0,0,12,17,8,19,17
asw,0,16,1,1,0,7,14,4,15,2,6,16,12,18,17,9,3,4,0,13,10,12,13,6,0,9,14,9,4,7,5,8,4,9,14,6,7,14,13,16,10,18,8,14,11,16,7,0,0,16,0,17,0,17,10,18,0,0,3,22,13,7,18,0,12,18,16,13,0,0,20,7,6,12,10,1,19,4,20,18,1,17,18,13,18,7,15,15,0,9,7,15,8,8,0,16,9,9,0,0,11,6,12,7,6,13,2,10,14,0,12,16,0,3,0,7,9,7,16,14,9,13,19,10,6,9,7,0,3,0,20,8,0,12,17,7,0,1,0,15,17,12,12,10,0,19,15,18,14,16,0,0,0,1,6,8,9,15,16,0,15,17,17,17,17,20,10,13,0,14,19,15,9,15,0,10,13,13,11,11,0,0,9,11,0,0,16,14,13,8,2,5,4,14,17,13,15,0,5,0,18,0,19,1,9,14,0,7,1,18,15,14,16,7,0,17,20,15,0,5,21,2,18,13,8,5,12,12,4,0,9,0,14,16,13,13,11,8,11,16,12,0,0,1,10,5,10,13,13,13,6,1,8,7,16,6,19,13,7,12,8,6,9,18,13,3,18,17,14,15,10,0,1,0,0,10,14,10,14,5,16,19,0,17,19,10,11,14,0,13,13,8,17,1,12,13,6,10,15,8,13,20,1,16,18,2,0,0,15,16,8,18,15
bot,1,8,0,0,0,3,5,3,5,3,1,4,0,5,4,0,2,11,6,12,15,4,2,9,0,1,6,11,0,0,8,2,1,5,5,0,5,4,4,5,0,4,2,4,5,10,1,0,0,2,4,5,0,3,4,4,0,2,1,5,5,1,5,3,0,15,2,2,2,0,5,2,1,2,4,1,4,3,6,5,0,4,5,2,5,1,3,2,0,5,0,2,9,4,0,3,2,0,2,5,3,0,5,3,0,13,4,13,4,1,5,4,2,0,0,1,0,1,5,14,4,2,5,8,4,0,4,0,1,0,5,12,0,8,4,2,0,6,5,8,5,3,0,0,7,4,3,4,3,5,0,4,1,1,5,3,0,4,5,0,4,8,5,7,5,5,11,5,4,4,5,15,8,5,0,5,2,0,10,9,0,0,9,6,0,1,3,4,3,5,2,0,0,3,6,4,13,0,3,0,5,0,4,2,1,4,3,2,4,5,10,1,4,6,9,4,5,4,0,4,5,0,5,15,1,3,4,3,3,3,2,4,1,5,1,10,2,16,3,5,3,7,4,8,1,0,11,5,2,1,8,0,3,1,5,2,5,3,1,7,0,6,2,6,2,1,4,4,1,3,12,1,2,7,2,4,6,13,2,4,3,5,4,2,5,4,7,1,0,16,16,2,5,1,1,5,9,0,2,11,14,6,3,5,5,2,0,2,1,0,5,5,4
boy,0,2,0,3,3,5,9,1,8,0,3,8,2,6,7,0,1,6,3,5,3,6,3,10,0,2,10,0,0,0,16,13,0,6,9,0,1,8,5,9,1,5,5,6,9,13,6,0,0,6,0,6,0,5,5,8,0,1,4,6,9,5,9,4,10,7,0,4,4,5,9,4,2,6,5,1,6,9,10,6,2,8,9,3,6,2,6,3,0,1,2,3,11,5,0,5,6,1,0,6,5,11,3,1,0,2,3,0,0,0,6,5,0,0,0,3,1,2,6,5,2,0,8,2,5,11,6,0,0,1,9,13,0,5,0,4,4,1,4,2,6,4,2,6,4,6,4,8,7,6,0,0,0,2,9,0,0,5,3,0,7,8,6,10,9,8,4,7,4,18,8,6,5,9,0,6,0,4,3,0,0,0,2,4,2,0,6,6,5,7,2,0,0,4,7,5,6,0,0,0,6,0,5,2,9,5,3,1,7,6,8,9,4,4,0,5,9,5,1,0,6,0,6,16,2,4,1,12,16,0,2,8,3,6,4,1,2,17,19,6,5,0,5,12,4,0,5,8,4,4,5,0,1,3,7,3,6,19,10,17,6,0,3,9,3,1,7,5,2,5,16,3,2,0,2,6,4,16,4,3,5,8,3,3,9,4,8,3,0,19,17,0,7,1,3,6,10,1,6,15,4,17,3,6,6,3,0,3,2,1,1,6,5
cgq,0,14,1,1,0,2,3,0,3,1,0,0,17,3,0,1,7,12,0,2,17,0,0,2,0,19,2,3,0,15,3,12,0,2,3,6,3,2,0,3,15,0,6,2,0,3,13,0,1,20,2,1,0,0,2,1,0,0,11,3,3,11,3,0,2,2,6,19,6,1,2,4,0,5,10,0,0,2,0,2,1,2,3,18,3,13,9,13,1,3,13,1,0,2,1,1,14,15,1,1,0,10,3,12,0,9,0,2,1,0,3,3,0,0,0,14,3,0,0,3,14,18,3,16,3,17,0,0,5,0,2,3,0,2,2,0,1,3,1,5,3,1,0,6,6,5,1,2,1,3,0,2,0,3,3,12,0,2,1,1,0,3,2,3,3,3,0,2,3,2,3,3,0,3,0,2,0,15,15,5,1,0,8,5,0,0,1,0,0,2,0,0,1,2,2,0,2,0,1,0,3,0,2,11,9,2,2,10,3,3,3,20,3,2,9,2,3,2,3,1,0,0,3,0,5,2,0,3,13,2,3,2,19,0,11,19,0,15,1,1,2,0,1,1,14,3,15,3,19,20,2,1,11,0,3,0,2,8,0,16,0,0,10,4,19,0,2,0,21,0,15,0,0,1,0,2,0,2,0,1,3,2,1,1,3,4,2,11,0,2,2,9,1,0,7,2,0,2,22,5,17,3,9,2,1,0,0,0,16,15,7,3,0
cks,0,2,0,4,1,4,6,1,6,0,3,6,3,10,2,0,1,1,3,5,0,6,3,10,0,5,7,14,0,0,14,7,0,6,10,0,1,6,5,7,1,5,1,6,6,11,6,0,0,3,0,6,0,5,5,9,0,1,4,10,8,6,10,4,10,9,15,4,4,5,7,4,2,7,5,1,9,0,11,6,2,5,6,3,6,5,7,3,0,1,4,6,11,5,0,5,1,1,0,6,5,11,3,15,0,2,3,0,0,0,6,5,0,0,0,5,1,2,6,8,0,0,10,2,5,11,6,0,0,0,11,13,0,7,16,4,4,1,4,2,6,7,5,6,4,6,4,9,4,6,0,0,0,1,10,0,0,8,6,0,5,9,9,5,21,10,4,7,0,2,10,6,5,6,0,6,0,5,3,0,0,0,2,1,2,0,7,6,5,6,2,0,0,4,10,8,6,0,0,0,9,0,9,2,9,5,3,1,1,6,6,9,4,4,0,8,11,8,0,0,6,0,9,16,2,4,1,12,18,0,2,12,3,6,3,1,5,20,16,6,4,0,5,9,2,0,10,10,4,2,5,0,1,3,7,3,6,10,10,18,0,0,3,7,3,1,9,5,2,5,6,3,2,0,2,6,4,2,4,3,5,10,3,6,10,6,8,3,0,20,20,0,9,1,6,3,10,1,3,12,5,19,4,6,6,3,0,0,2,4,3,9,5
cmr,0,7,6,0,0,12,13,4,13,7,10,11,8,14,11,7,1,3,0,0,7,10,12,1,4,9,12,8,0,8,18,4,2,14,17,2,8,6,10,10,7,11,12,9,15,7,0,0,0,11,0,0,0,11,16,14,0,2,4,14,9,18,14,0,4,13,8,8,11,10,14,9,8,9,8,1,14,10,15,13,1,12,13,8,13,17,13,10,2,0,17,9,6,13,1,9,5,5,0,9,6,3,0,5,3,7,3,4,11,0,16,10,0,3,0,6,6,0,12,14,6,7,14,6,8,3,1,0,5,0,15,3,0,8,10,11,6,1,6,9,12,12,9,12,9,12,7,13,10,11,2,8,7,4,14,1,5,5,9,0,9,13,3,11,11,15,6,0,0,9,14,11,7,12,1,13,8,17,8,7,0,0,2,7,0,3,0,11,10,12,3,0,5,10,13,10,11,0,6,0,13,0,13,7,5,12,8,0,9,13,17,7,10,8,6,12,15,11,1,7,14,0,13,8,8,6,6,8,17,0,0,9,9,11,13,7,4,3,6,13,9,0,0,1,8,0,7,17,8,8,8,0,1,2,13,2,13,6,6,5,7,0,5,13,9,0,13,12,9,10,4,0,1,12,0,15,11,6,9,0,12,14,0,11,14,16,6,6,0,7,5,1,0,1,11,11,4,2,10,5,14,10,16,11,13,2,0,10,9,7,5,13,10
cnw,0,9,3,0,6,14,19,4,14,10,12,14,9,16,13,0,0,6,9,17,8,8,11,1,0,20,4,16,0,6,20,10,2,13,19,5,1,11,10,12,17,14,13,10,17,9,6,0,0,13,0,14,0,13,19,16,0,0,9,16,10,19,15,0,7,15,11,10,0,11,16,10,10,13,16,1,16,4,16,15,1,14,15,10,15,19,10,11,2,0,15,11,7,16,4,12,7,7,3,11,8,6,9,4,2,9,3,6,13,0,18,12,0,0,0,6,6,4,9,13,2,10,16,4,12,5,1,0,0,0,17,16,0,9,12,12,5,1,7,11,14,9,11,13,11,14,13,15,17,13,2,0,8,5,16,7,4,13,6,0,11,15,14,11,13,17,8,12,0,11,16,13,5,19,0,8,9,10,0,9,3,0,8,9,3,3,12,11,11,13,3,5,5,7,14,21,3,0,6,0,15,0,15,11,7,8,3,0,10,16,19,10,13,10,0,14,17,14,0,10,16,0,16,10,14,9,9,9,2,0,4,1,11,12,16,9,9,5,8,10,15,3,4,15,10,0,8,19,10,10,3,0,3,2,8,5,15,9,3,7,0,4,7,0,11,0,15,14,11,12,6,5,1,6,0,16,12,9,12,0,8,16,6,8,16,13,4,7,0,9,10,11,13,4,7,12,2,6,12,6,8,12,18,13,0,2,0,7,6,9,6,15,12
cow,6,18,1,1,8,7,18,4,18,4,9,20,19,23,19,11,5,8,8,5,14,15,18,6,0,15,4,12,0,11,8,9,0,9,16,5,12,12,15,19,14,17,11,17,23,20,10,0,0,10,0,21,0,16,8,13,0,0,3,22,16,10,22,0,16,8,19,12,14,14,23,2,6,11,10,1,22,0,2,22,1,21,21,3,20,10,16,13,0,7,5,19,4,8,0,18,12,13,0,14,10,9,10,10,9,16,7,12,15,0,4,19,5,0,0,12,0,0,19,14,1,14,23,14,6,14,13,0,0,2,24,11,0,17,7,7,0,3,0,18,20,11,12,5,16,16,19,22,16,15,5,12,5,3,21,11,9,19,15,0,14,20,21,20,20,24,13,17,0,17,23,18,4,14,0,14,16,17,5,14,0,0,8,1,0,0,17,16,15,18,2,5,9,16,20,11,13,1,5,0,22,0,23,9,8,19,0,9,1,22,4,16,18,7,6,21,24,18,0,5,22,0,22,1,10,11,11,6,8,0,13,15,17,19,10,12,0,12,15,20,14,0,10,7,17,6,13,16,17,17,13,0,4,2,19,3,18,16,2,9,8,0,0,20,17,5,22,21,18,13,8,0,1,11,0,14,3,9,18,6,18,23,8,16,23,14,14,10,0,12,15,5,20,6,1,3,6,12,19,17,16,24,13,1,17,2,0,0,15,20,8,22,7
