language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
adm,16,1,1,1,22,3,0,19,19,10,17,0,6,20,22,3,20,16,21,1,22,11,8,12,21,22,20,8,15,5,16,3,18,19,8,9,0,16,0,1,1,15,21,17,0,17,20,20,16,20,15,10,15,21,12,5,1,14,18,1,18,9,20,21,17,14,21,10,21,19,0,16,10,0,1,21,23,19,21,0,8,1,21,1,21,0,19,15,23,0,0,1,16,14,18,21,18,20,13,1,19,21,23,18,0,1,23,17,15,1,21,0,14,19,14,20,12,17,21,19,5,6,22,0,22,1,13,19,20,0,0,1,1,15,1,18,6,19,17,1,12,21,19,0,22,0,0,13,5,6,16,19,16,15,15,21,20,5,21,21,8,20,11,21,1,8,20,16,5,20,17,4,22,16,1,16,23,0,8,19,21,7,4,21,0,14,16,19,0,20,16,1,1,11,0,7,18,0,14,0,0,13,20,1,19,0,22,0,18,18,22,1,20,22,19,18,22,15,22,9,13,5,1,21,22,1,17,0,0,9,21,20,21,0,17,21,9,20,0,12,0,23,23,5,14,17,17,17,0,19,19,1,17,18,0,18,0,22,21,23,0,8,16,20,13,15,0,2,13,19,0,20,0,8,18,18,21,9,6,17,0,19,20,14,19,21,21,18,19,20,20,0,18,16,8,11,0,9,21,7,23,11,7,18,12,19,0,14,19,18,19,1,21
afl,7,7,1,5,7,1,2,8,6,1,5,0,1,7,7,5,6,6,7,2,7,5,6,7,7,7,7,1,6,7,7,2,7,7,6,4,3,7,0,1,5,7,8,8,0,8,7,7,5,7,1,5,6,7,0,0,6,6,6,2,7,4,6,7,8,8,7,1,6,7,0,6,1,0,5,8,7,6,7,0,7,6,6,1,7,0,7,6,7,0,0,1,1,5,6,7,7,7,1,3,7,7,7,7,4,1,7,6,8,1,6,0,6,8,8,8,7,6,7,7,4,2,7,7,7,4,5,7,6,0,6,6,1,6,1,6,8,7,6,6,4,6,6,0,7,0,2,5,1,1,8,6,8,5,7,7,7,0,6,6,7,7,5,6,1,0,7,8,2,7,7,1,7,6,1,6,7,0,4,6,7,6,0,6,0,5,6,7,4,7,6,4,1,5,0,6,7,0,6,0,5,7,7,1,7,8,7,0,8,5,7,1,7,7,8,7,7,7,7,1,6,4,5,7,6,8,7,6,2,1,7,7,7,0,7,6,8,7,1,5,0,7,7,1,7,6,6,7,0,6,7,6,7,7,0,5,7,7,8,7,0,7,6,7,4,7,0,0,5,6,0,7,0,7,7,6,7,5,7,6,0,7,7,7,6,7,8,7,8,7,7,0,6,5,7,4,2,4,6,6,7,6,6,6,5,7,0,8,7,8,6,7,7
ajl,11,13,1,6,15,2,0,6,13,3,10,5,1,14,16,11,13,7,8,1,16,8,7,0,16,15,8,12,9,10,14,0,12,8,9,5,0,12,0,1,9,8,15,0,0,0,16,11,12,15,7,7,7,16,0,0,11,1,10,1,12,8,13,16,9,13,14,1,15,16,0,14,6,0,7,15,15,14,15,2,13,9,14,1,15,0,15,0,15,0,0,5,11,11,12,15,15,14,8,4,13,15,15,14,0,1,16,12,12,1,14,0,11,0,12,6,8,12,14,10,6,3,15,8,14,1,10,14,13,0,0,7,2,1,1,13,9,12,11,1,5,15,7,0,15,0,3,9,0,1,12,12,1,12,13,15,14,0,15,15,14,8,8,14,1,3,13,12,3,14,13,3,8,7,1,11,16,0,6,11,12,8,0,11,0,10,8,13,7,13,12,1,7,6,3,11,12,0,7,0,0,8,16,1,15,12,14,0,6,6,12,7,14,16,0,12,16,11,15,6,8,1,12,14,14,9,8,11,0,4,15,15,15,1,11,14,15,14,2,7,0,15,15,1,8,13,12,9,0,13,12,11,12,12,0,14,0,8,15,9,0,15,13,11,8,0,6,0,9,14,0,14,0,9,12,8,16,4,10,13,0,12,13,12,14,13,15,0,14,15,9,0,11,11,16,0,0,1,14,0,15,1,14,7,7,11,3,0,14,0,10,8,14
akz,3,5,3,4,4,0,0,5,3,0,3,3,0,3,4,2,3,3,2,0,4,0,3,4,2,4,3,4,4,3,3,0,4,4,3,0,1,4,0,0,0,3,4,6,1,4,5,4,0,3,3,2,3,5,5,3,4,4,3,0,4,1,3,4,5,5,4,4,3,4,1,3,5,1,0,5,4,2,4,0,3,0,3,3,4,1,4,4,4,0,0,3,5,3,3,4,4,4,2,0,3,4,4,4,1,0,2,3,4,0,3,0,4,6,3,4,4,4,4,3,0,0,4,4,4,0,3,4,3,1,4,0,0,4,0,3,5,6,4,0,0,3,3,0,4,0,1,4,0,0,6,4,6,3,4,5,4,1,3,4,5,4,3,3,3,1,4,6,0,5,4,0,4,3,0,4,4,2,3,3,4,0,1,3,0,4,4,4,1,4,3,3,0,0,2,2,5,0,4,1,1,3,3,4,4,6,4,1,3,3,4,2,4,4,5,4,4,0,4,5,3,0,0,3,4,0,4,1,0,0,4,4,4,0,4,3,4,4,0,0,0,4,4,0,6,3,4,5,3,3,4,0,3,3,1,2,4,4,4,4,5,4,3,4,0,5,5,0,0,3,2,4,0,3,4,4,4,0,4,3,0,5,3,3,0,4,4,3,4,4,4,0,3,3,4,2,1,3,3,1,4,0,3,4,0,4,1,5,2,5,5,5,3
alq,15,16,6,9,21,1,0,18,17,9,16,0,5,19,21,3,19,15,20,1,21,7,8,11,20,21,19,18,14,13,8,3,17,18,18,8,0,15,0,1,1,14,20,0,3,0,19,19,15,19,14,9,14,20,11,5,1,12,16,1,17,0,19,20,16,14,20,1,20,8,0,15,6,4,1,20,22,18,20,0,19,1,20,1,20,0,18,14,22,0,0,1,15,6,17,20,17,19,12,1,18,20,22,17,0,1,22,16,14,1,20,0,7,18,13,19,11,16,20,8,10,0,21,0,21,5,12,18,19,0,9,1,1,14,1,17,14,18,16,13,11,20,18,0,21,0,0,0,0,5,15,18,15,14,0,20,19,0,20,20,8,19,9,20,7,9,19,1,3,19,16,1,21,15,1,15,22,0,5,17,20,11,0,20,0,6,15,18,0,19,15,1,1,10,0,7,17,0,13,0,0,12,19,1,18,16,20,0,17,17,21,1,19,21,18,16,21,14,21,7,12,13,1,20,20,20,16,13,0,1,19,19,20,0,16,19,21,19,0,1,0,22,22,1,13,16,16,15,0,18,18,15,8,17,0,17,0,20,20,22,11,20,7,19,11,14,0,1,12,18,0,19,0,20,17,17,20,8,6,16,0,18,5,8,18,20,20,17,18,19,8,0,16,15,18,10,0,8,20,12,22,7,18,17,11,18,0,12,18,17,7,15,20
bdv,10,8,4,1,8,1,0,10,8,5,7,0,1,9,9,3,7,9,9,3,8,6,10,9,10,9,9,1,8,8,10,0,9,9,7,1,0,10,0,1,7,10,10,9,0,10,10,8,9,9,9,4,9,8,0,0,8,7,9,1,9,6,8,9,6,10,8,7,7,10,4,9,6,2,6,0,8,9,8,0,10,7,7,1,11,0,8,8,9,0,0,6,9,7,8,8,11,9,1,6,9,9,8,9,0,3,8,8,10,1,8,0,9,10,10,9,9,9,8,9,8,0,8,9,8,1,8,9,9,0,7,1,1,1,1,8,11,10,7,8,2,8,9,0,9,0,0,8,2,4,10,7,10,8,9,10,10,2,8,8,11,10,7,8,1,4,10,11,3,8,10,1,9,9,2,9,8,0,0,8,10,1,0,7,0,8,9,9,5,10,9,5,8,7,4,9,10,0,9,0,6,9,9,1,9,0,10,0,10,7,8,1,9,8,10,9,9,8,9,1,7,7,8,8,8,11,9,0,4,4,10,9,9,0,0,9,6,9,3,8,0,8,8,1,9,8,8,8,5,7,10,9,10,10,0,8,9,10,10,8,7,11,10,9,1,9,0,0,8,8,0,9,0,5,10,9,9,4,8,9,2,10,10,5,8,10,10,8,10,9,10,0,9,7,11,0,3,1,7,9,9,8,8,9,4,9,5,0,9,9,9,9,9
bkr,11,14,1,6,18,1,0,15,14,7,12,5,1,15,18,8,14,12,17,1,18,8,7,0,18,18,17,13,9,12,13,0,12,8,14,5,0,9,0,1,6,8,18,14,0,0,18,11,14,12,7,4,12,12,0,6,12,1,12,1,12,0,16,17,9,0,15,9,11,15,0,12,6,0,7,16,18,7,16,2,16,11,16,1,16,0,17,0,18,0,0,5,12,12,10,17,9,16,9,4,8,14,18,12,0,1,15,13,9,1,16,0,8,16,9,16,8,13,15,15,6,3,18,8,17,1,10,15,16,0,0,7,2,11,1,11,9,15,11,1,8,11,7,0,16,0,0,9,0,1,12,14,1,6,0,17,8,0,17,18,15,15,1,17,1,3,14,12,3,15,14,3,16,7,1,7,18,0,6,14,17,1,3,17,0,1,8,13,7,14,7,1,7,6,3,1,15,0,7,0,0,8,12,1,12,13,8,0,15,13,16,5,16,15,16,13,18,11,18,6,8,10,9,17,15,9,14,0,8,4,14,11,17,2,11,16,10,15,2,7,0,18,18,1,11,11,1,9,0,14,16,7,0,8,0,6,0,16,17,16,0,9,15,16,7,12,6,0,9,11,0,15,0,16,12,8,17,4,10,15,0,15,18,11,15,16,9,13,15,17,9,0,12,6,9,0,0,1,17,0,18,9,13,14,7,15,8,0,8,0,10,8,15
bkz,4,0,3,4,5,0,0,3,4,0,3,4,3,5,5,2,4,4,5,0,5,0,3,4,5,5,5,6,4,4,4,0,5,5,3,0,1,5,0,0,0,5,5,4,1,6,3,5,0,5,4,2,4,2,4,3,4,5,4,0,5,3,4,5,3,6,5,5,4,5,1,5,4,1,0,6,5,2,5,0,5,4,4,0,5,4,5,4,5,0,0,0,4,3,4,5,5,5,0,0,4,5,5,5,3,0,5,4,5,0,3,0,5,4,6,5,5,3,5,5,2,0,5,5,5,0,3,5,4,1,1,0,0,3,0,4,3,4,4,4,0,4,3,0,5,0,1,4,0,0,4,3,4,4,5,3,5,1,4,3,3,5,3,4,3,1,5,0,0,3,5,2,5,4,0,3,5,2,1,4,5,4,1,4,0,0,3,5,1,5,3,0,5,0,2,2,4,0,3,1,1,5,5,4,5,4,5,1,5,3,5,0,5,5,6,3,5,5,5,0,3,0,0,5,0,6,4,1,0,3,5,5,5,0,5,4,5,5,0,3,0,5,5,0,4,4,3,3,4,4,5,4,3,5,2,3,5,5,6,5,3,5,4,5,3,2,4,0,0,4,1,5,0,4,5,3,5,0,3,4,0,3,4,3,4,5,5,3,6,5,5,0,4,3,5,0,1,3,4,1,5,4,4,3,0,5,1,6,5,6,3,0,5
buw,8,10,1,1,11,1,0,9,7,4,8,0,1,8,10,7,8,8,10,1,11,6,11,8,11,8,12,1,0,5,5,0,11,10,11,1,0,0,0,2,1,9,9,10,0,9,11,9,11,8,10,4,8,11,0,0,9,1,8,3,10,5,7,11,10,9,9,8,8,11,4,11,8,3,1,9,11,8,11,0,11,8,8,1,10,6,9,9,12,0,0,5,8,8,7,9,12,12,4,5,10,8,11,8,0,1,11,7,6,1,9,0,10,9,0,6,0,11,11,11,7,0,9,12,9,1,7,10,10,0,0,8,1,7,1,9,10,8,8,9,2,10,8,0,11,0,0,7,3,3,9,10,9,9,8,9,9,3,10,11,13,11,6,9,6,5,9,10,3,11,9,1,12,10,3,8,9,0,0,9,11,1,0,8,0,7,10,12,0,9,8,1,1,3,0,8,11,0,8,0,7,8,11,1,10,10,12,0,13,10,11,4,10,11,9,8,8,9,11,1,9,6,7,9,9,12,10,8,5,4,9,8,10,0,9,11,6,10,0,6,0,9,11,1,10,7,9,10,0,8,9,10,9,11,0,10,10,9,12,12,8,10,9,10,5,10,0,0,7,9,0,8,0,10,11,7,11,4,9,11,0,8,9,10,10,9,6,9,9,10,13,0,8,8,10,7,0,5,8,8,10,1,9,8,8,10,6,0,10,10,11,10,8
cek,9,11,1,7,12,1,0,12,10,3,9,5,1,11,13,9,10,11,13,1,12,8,12,0,13,12,13,9,10,5,12,0,13,14,12,1,0,11,0,1,6,8,12,12,2,12,14,12,7,13,7,6,7,13,0,0,7,1,7,1,13,7,10,13,9,11,11,1,12,13,0,13,6,0,1,13,12,7,12,2,12,10,12,1,13,0,12,10,8,0,0,5,7,10,9,12,14,8,3,4,11,11,12,11,0,1,12,10,11,3,11,2,8,12,11,11,8,7,12,13,6,3,12,13,11,1,6,12,7,0,0,7,3,1,1,7,12,9,12,1,6,12,11,0,12,0,0,10,0,1,13,11,1,10,10,12,12,4,12,12,9,12,1,11,1,3,8,13,3,12,8,3,13,11,1,7,12,3,6,7,8,1,0,12,0,1,12,8,6,8,7,6,7,6,3,1,9,0,11,2,8,8,13,5,13,9,13,0,14,6,13,6,12,12,12,11,12,1,12,6,10,8,10,11,11,13,12,9,0,5,12,12,11,0,8,12,12,12,2,7,0,12,12,1,8,10,1,9,0,10,8,7,0,8,0,11,12,12,0,13,0,12,8,12,1,11,6,0,6,7,0,10,0,12,13,11,13,4,11,12,0,9,14,9,13,11,13,11,12,12,14,0,7,6,13,0,0,1,11,0,12,1,11,7,7,12,3,0,8,13,13,12,11
