language,f_000,f_001,f_002,f_003,f_004,f_005,f_006,f_007,f_008,f_009,f_010,f_011,f_012,f_013,f_014,f_015,f_016,f_017,f_018,f_019,f_020,f_021,f_022,f_023,f_024,f_025,f_026,f_027,f_028,f_029,f_030,f_031,f_032,f_033,f_034,f_035,f_036,f_037,f_038,f_039,f_040,f_041,f_042,f_043,f_044,f_045,f_046,f_047,f_048,f_049,f_050,f_051,f_052,f_053,f_054,f_055,f_056,f_057,f_058,f_059,f_060,f_061,f_062,f_063,f_064,f_065,f_066,f_067,f_068,f_069,f_070,f_071,f_072,f_073,f_074,f_075,f_076,f_077,f_078,f_079,f_080,f_081,f_082,f_083,f_084,f_085,f_086,f_087,f_088,f_089,f_090,f_091,f_092,f_093,f_094,f_095,f_096,f_097,f_098,f_099,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216,f_217,f_218,f_219,f_220,f_221,f_222,f_223,f_224,f_225,f_226,f_227,f_228,f_229,f_230,f_231,f_232,f_233,f_234,f_235,f_236,f_237,f_238,f_239,f_240,f_241,f_242,f_243,f_244,f_245,f_246,f_247,f_248,f_249,f_250,f_251,f_252,f_253,f_254,f_255,f_256,f_257,f_258,f_259,f_260,f_261,f_262,f_263,f_264,f_265,f_266,f_267,f_268,f_269,f_270,f_271,f_272,f_273,f_274,f_275,f_276,f_277,f_278,f_279,f_280,f_281,f_282,f_283,f_284,f_285,f_286,f_287,f_288,f_289,f_290,f_291,f_292,f_293,f_294,f_295,f_296,f_297,f_298,f_299,f_300,f_301,f_302,f_303,f_304,f_305,f_306,f_307,f_308,f_309,f_310,f_311,f_312
aht,3,10,7,0,1,2,8,2,11,3,2,1,2,0,0,8,9,2,0,9,0,8,9,1,7,6,0,0,10,2,2,8,0,10,1,0,0,11,9,9,7,10,7,7,10,9,0,0,0,1,3,0,8,7,11,0,10,0,0,10,9,9,0,0,9,8,1,9,9,11,2,4,4,6,1,2,0,8,3,0,4,0,10,8,7,2,9,0,9,8,4,8,11,9,5,4,0,10,2,9,1,0,7,8,9,8,10,7,0,4,5,0,10,0,7,1,9,10,0,2,5,10,7,10,3,7,0,1,2,4,0,6,1,9,4,8,8,2,2,10,8,0,8,9,2,9,0,9,4,11,10,8,0,7,9,5,9,5,2,7,6,9,5,0,0,2,4,9,2,4,11,2,7,4,4,8,11,6,1,10,7,5,0,9,3,0,7,12,6,2,8,1,3,6,0,0,6,0,1,6,0,2,9,8,9,8,1,0,0,3,9,7,8,7,1,0,0,0,6,0,7,8,8,8,7,8,2,9,9,3,8,6,2,4,8,0,8,9,2,3,6,0,5,9,0,10,5,2,0,0,10,8,8,1,9,8,10,0,8,12,0,11,6,8,3,8,1,9,0,0,9,9,4,0,9,11,7,0,0,0,3,10,3,3,4,9,11,4,1,6,8,12,2,10,8,7,1,4,8,1,0,6,8,3,9,11,0,2,8,8,4,10,5
air,2,1,3,2,4,4,3,0,2,1,2,2,0,0,0,3,3,0,3,1,1,3,1,2,1,0,0,0,1,0,5,2,3,1,2,1,0,3,2,0,2,1,3,2,2,0,0,0,0,3,1,2,2,2,1,0,0,0,0,0,1,3,0,0,2,1,1,1,1,3,4,2,2,2,0,1,3,1,2,2,1,0,3,2,3,1,1,0,0,3,2,1,1,2,3,2,2,2,0,1,2,0,2,2,1,0,2,1,0,3,2,0,0,3,1,1,1,3,0,1,2,2,2,0,2,1,0,3,3,2,2,4,3,1,3,2,1,3,4,1,2,0,1,2,1,0,0,2,3,2,0,1,2,1,0,0,2,2,2,1,1,1,1,0,3,3,3,1,1,2,3,3,0,2,2,3,2,0,1,3,2,3,0,0,2,0,1,1,0,3,2,1,2,4,4,0,1,0,0,2,0,2,0,3,1,2,2,0,3,2,1,2,2,0,0,2,3,0,1,0,0,3,1,1,0,2,0,2,0,0,1,2,3,2,3,0,1,2,3,2,0,0,1,1,0,1,3,0,0,0,3,1,2,0,2,2,1,2,1,4,0,2,0,2,2,3,3,3,1,3,0,0,1,0,1,2,1,3,1,1,0,1,2,0,1,0,2,2,1,2,4,2,1,1,1,3,0,2,1,2,0,3,2,2,3,1,0,2,2,3,2,1,2
akl,4,7,5,0,1,9,1,2,7,2,2,1,5,0,0,4,6,3,0,6,0,6,4,1,4,4,3,0,6,2,8,3,0,4,1,0,0,4,4,3,5,4,5,1,6,3,0,0,1,1,4,4,5,4,5,3,3,0,0,7,4,7,0,3,4,4,1,5,4,7,5,2,5,3,0,0,0,4,0,3,1,0,6,0,4,0,4,0,3,4,1,4,5,0,4,0,5,6,0,5,4,0,5,5,3,5,5,4,1,6,4,1,6,4,2,1,3,4,3,5,1,7,5,5,1,4,5,4,2,3,0,0,8,4,6,4,2,2,5,6,6,0,5,6,2,4,0,4,2,6,6,4,0,2,3,0,6,4,3,3,1,4,2,0,5,2,6,4,4,3,7,2,2,3,6,5,5,0,1,4,1,6,0,3,6,0,4,7,1,6,4,1,4,0,0,0,3,0,0,3,0,2,4,4,5,4,6,0,5,5,5,4,3,2,0,3,4,0,3,0,1,6,3,5,4,6,0,7,3,1,2,1,2,3,4,0,3,3,7,4,3,0,2,4,0,6,1,0,0,0,7,4,5,1,3,3,6,0,4,9,0,8,4,6,4,5,1,5,2,4,6,4,2,0,3,8,4,4,0,4,0,5,6,0,3,6,6,0,1,3,5,9,5,3,2,0,0,5,5,1,1,2,4,0,4,5,0,2,4,0,1,3,0
alu,12,16,13,0,2,16,13,6,17,5,0,9,12,2,0,13,13,0,0,14,4,13,15,10,12,11,4,0,15,0,14,14,4,16,0,5,3,16,14,14,12,15,13,12,16,14,2,0,0,10,13,10,14,10,16,0,15,0,0,15,14,14,0,2,15,14,1,14,14,16,13,6,14,0,4,0,2,13,0,6,8,2,14,12,9,0,14,0,14,13,14,13,15,14,9,0,8,15,3,15,1,5,12,14,14,11,15,9,4,11,8,0,15,12,12,1,14,15,0,10,6,15,11,16,6,12,9,2,0,11,5,8,15,14,12,13,14,6,0,15,0,1,12,13,0,14,5,12,0,15,15,13,4,12,15,8,11,8,5,14,7,14,11,1,0,7,7,14,10,7,16,15,13,0,10,13,15,0,5,15,12,14,4,14,10,0,12,17,7,13,13,1,13,10,2,0,7,0,0,9,0,0,14,9,14,13,11,0,10,0,15,0,13,8,2,5,10,0,11,0,12,10,14,14,13,12,5,14,14,0,13,9,4,8,11,0,13,15,14,7,10,0,10,15,0,16,10,6,0,0,16,13,12,0,11,1,16,3,11,16,1,15,7,10,13,12,8,14,7,15,14,14,10,3,13,16,12,0,0,12,2,15,12,7,7,14,17,7,0,9,14,16,12,15,13,0,2,0,12,10,0,0,0,9,13,16,0,0,12,12,1,16,0
btv,16,17,9,8,8,19,17,4,21,0,6,14,13,2,0,14,14,7,9,18,0,14,19,11,16,12,2,0,17,0,15,15,4,17,0,4,0,21,18,18,14,16,16,11,19,19,0,0,0,11,17,12,16,13,17,8,19,0,0,20,15,15,0,2,16,16,1,15,15,20,1,5,15,12,5,5,2,17,0,7,9,0,18,1,13,0,18,0,15,14,15,14,19,18,2,0,10,19,4,16,9,6,13,11,18,12,19,16,5,0,9,0,19,13,13,8,18,19,7,10,7,19,12,17,10,0,2,2,8,0,0,2,19,18,13,17,18,7,13,16,13,0,16,17,8,15,6,13,9,0,20,17,0,13,16,0,15,0,6,18,8,18,8,0,0,7,10,15,11,7,20,18,17,0,12,12,16,0,1,19,13,0,0,18,11,5,16,21,11,15,15,1,14,12,2,1,10,0,0,11,0,5,15,13,19,14,15,0,7,13,19,0,14,11,0,0,12,0,10,0,13,11,15,18,12,16,6,15,18,0,17,10,0,10,13,0,17,17,10,7,14,0,11,19,0,19,13,7,0,0,19,14,13,0,13,12,20,0,15,21,1,16,9,12,15,14,9,18,9,16,18,18,9,0,14,17,13,0,0,13,2,20,16,9,9,19,20,8,0,10,11,20,16,19,14,14,2,11,16,14,6,0,15,13,15,20,0,5,17,13,1,20,10
cej,14,13,14,9,2,0,15,4,18,0,0,11,14,2,0,15,15,8,0,16,0,9,16,12,13,9,5,0,18,0,16,10,4,18,0,6,0,17,16,15,15,17,12,13,17,16,0,0,0,12,14,11,13,14,18,0,17,0,3,16,16,0,0,6,17,15,1,16,16,18,1,5,16,10,6,6,2,15,9,0,10,0,16,14,10,5,16,0,16,15,16,15,17,15,10,0,9,16,0,17,1,7,14,15,15,13,17,13,6,12,10,0,16,2,14,1,16,17,0,11,8,17,0,18,8,13,2,8,7,12,0,2,16,15,14,14,15,5,0,17,14,0,14,15,9,16,0,14,0,16,16,14,5,14,17,0,16,10,0,16,7,16,12,0,6,7,7,16,9,9,17,16,14,8,0,14,12,10,1,16,14,15,0,16,12,0,13,18,12,16,16,1,15,13,2,2,11,0,3,12,0,5,16,9,16,15,13,0,7,0,16,11,15,0,0,6,11,0,12,0,14,12,16,16,14,1,0,16,16,0,14,11,5,11,12,0,14,16,15,10,12,0,12,17,0,17,12,6,0,0,17,15,0,0,14,1,17,4,12,17,1,17,8,13,16,13,10,16,10,17,16,15,12,0,15,18,14,10,4,14,7,17,14,8,7,15,18,7,0,11,11,17,13,16,15,11,4,12,14,11,4,0,13,10,16,17,1,4,14,14,1,18,9
chw,1,0,2,3,3,3,2,0,1,1,2,0,3,0,0,1,2,1,2,2,0,4,0,2,0,3,0,0,2,0,1,0,0,2,2,1,0,2,1,1,3,2,2,0,3,1,0,0,0,2,0,3,1,3,2,0,1,0,0,1,2,2,0,0,0,0,1,2,2,1,3,2,3,2,0,1,3,1,1,2,1,0,4,3,3,0,2,0,1,2,3,2,0,1,3,3,3,1,0,0,3,0,1,1,0,2,3,0,0,3,2,0,2,3,0,1,2,1,2,1,3,1,1,1,2,2,3,3,3,1,0,0,2,0,1,1,0,3,3,2,3,0,2,1,1,0,0,3,2,3,1,0,0,0,1,3,1,3,2,0,1,2,1,0,2,1,2,0,1,2,1,1,0,0,2,2,3,0,1,1,3,4,0,1,4,0,1,3,0,1,1,1,1,2,3,0,1,0,0,1,0,2,1,2,0,0,4,0,2,4,0,2,1,0,0,2,0,0,1,0,0,0,2,0,1,2,0,1,1,0,0,0,3,2,0,0,0,1,4,2,0,0,1,0,0,2,2,0,0,0,4,0,1,0,4,2,0,2,1,3,0,3,2,3,1,2,4,1,1,2,1,1,1,0,2,4,1,2,0,2,0,2,1,0,1,1,1,2,1,1,2,1,0,0,0,4,0,2,0,3,0,3,2,2,2,2,0,2,1,2,2,2,3
clr,5,3,0,5,1,10,6,2,9,0,2,1,8,0,0,7,8,4,0,8,0,5,8,1,2,2,0,0,9,2,9,6,0,7,1,0,0,10,7,4,4,8,6,3,4,7,0,0,0,1,7,5,4,6,4,4,8,0,0,8,5,8,0,3,7,7,1,8,7,9,7,2,9,1,0,0,0,5,4,0,1,0,2,6,2,0,7,0,7,7,8,6,10,4,1,0,0,7,0,3,1,0,3,4,7,4,8,6,2,8,0,0,8,6,3,1,7,7,3,7,1,3,4,8,4,4,0,5,4,6,0,0,9,7,8,6,5,4,2,8,5,0,4,4,3,7,0,0,2,9,8,6,0,3,8,0,8,6,3,6,1,8,3,0,0,2,5,6,2,5,9,5,4,6,0,4,10,4,1,8,4,7,1,7,3,0,6,11,1,9,5,1,7,0,5,0,2,0,2,4,0,2,7,5,8,6,8,0,4,9,7,5,6,6,0,0,5,3,2,0,5,5,6,7,3,7,0,8,8,2,5,5,2,3,5,1,6,6,5,0,4,0,2,7,1,8,1,3,0,0,9,5,6,1,7,6,9,0,2,11,0,5,0,1,5,1,1,7,2,8,3,7,3,0,7,9,5,0,0,8,0,9,4,4,2,8,9,0,1,5,7,11,3,8,6,6,0,3,6,5,0,4,5,0,7,10,0,2,3,4,1,7,0
dln,10,12,11,7,7,14,11,0,15,0,5,7,10,0,1,11,11,0,8,13,0,11,14,6,9,8,2,0,14,0,11,12,0,14,0,0,2,14,12,12,10,13,10,9,13,12,0,0,0,8,11,9,11,9,14,6,13,0,0,13,12,13,0,2,13,12,1,12,12,14,11,0,12,8,3,0,2,12,8,0,7,0,12,10,0,0,11,0,12,11,12,11,14,12,7,7,0,13,0,13,8,2,10,13,12,10,13,12,3,9,7,2,13,10,10,5,12,13,5,9,0,14,0,14,5,10,8,2,6,9,4,7,13,12,10,11,12,0,9,13,12,0,11,11,6,12,4,11,6,13,13,11,0,10,13,0,13,0,0,13,2,12,9,0,0,6,9,12,7,0,14,12,11,0,9,11,13,9,4,13,9,12,2,12,8,2,10,15,9,11,10,1,11,9,2,0,9,0,0,10,0,0,12,11,12,11,0,0,8,11,13,9,11,0,0,0,2,5,9,0,10,0,12,12,10,11,3,11,12,4,11,8,0,1,9,3,11,13,12,9,7,0,9,13,0,14,9,0,0,0,14,11,11,2,0,11,14,0,10,14,1,14,0,1,12,10,2,12,6,13,12,12,7,2,11,15,10,8,0,10,5,14,10,2,6,12,15,6,0,8,13,14,10,13,11,9,0,0,10,9,0,7,10,7,12,14,0,3,10,10,1,14,7
eqz,8,11,8,0,6,12,9,2,12,4,2,5,2,0,0,9,0,2,5,10,0,0,10,1,8,7,0,0,11,6,2,9,0,11,1,0,1,12,10,10,8,11,8,1,11,10,0,0,0,1,9,7,9,8,12,0,11,0,0,11,10,10,0,0,11,9,1,10,10,12,9,2,10,7,2,3,0,10,6,4,5,0,11,5,2,2,10,0,10,9,10,9,3,10,1,4,0,11,0,11,1,0,8,9,10,9,11,8,0,4,6,0,11,8,8,1,10,11,4,8,1,11,8,11,3,8,0,7,2,4,0,0,11,10,4,9,10,2,7,11,9,0,3,3,5,10,0,0,4,4,11,9,0,8,11,6,10,5,2,9,1,10,6,0,0,2,4,10,5,4,12,10,8,4,4,9,6,7,1,11,1,10,0,10,3,0,8,13,2,2,9,1,9,7,0,0,1,0,1,7,0,3,10,1,10,9,1,0,6,3,11,8,9,0,0,0,7,4,2,0,8,2,9,9,8,4,0,10,10,0,9,1,2,4,2,2,9,10,9,6,1,0,6,10,0,11,6,5,2,0,11,9,0,1,3,9,11,0,9,5,2,1,0,9,9,4,1,10,4,10,10,10,5,0,4,12,8,7,0,0,0,11,8,3,5,10,12,5,1,0,10,4,8,11,9,0,1,8,2,7,0,2,3,3,10,12,0,2,9,0,3,12,0
